,Pós-venda/Cancelado/Devolvido,Nº de Pedido da Plataforma,Custo Médio,SKU,SKU (Armazém)
0,Cancelado,582842497552581968,4.0,PEBCN-BBML 12-24-12-24,PEBCN-BBML-12-24-Cor-Sortida
1,Ocorreu,582842361247204456,25.1429,21011-41,21011-41
2,Ocorreu,582841805697353604,25.0,21009-40,21009-40
3,Ocorreu,582841574826018761,25.1429,21011-41,21011-41
4,Cancelado,582840897842283785,4.0,PEBCN-BBML 12-24-12-24,PEBCN-BBML-12-24-Cor-Sortida
5,Ocorreu,582840802944058412,4.6726,AS-F-Preto-Cereja -35-40,AS-F-Preto-Cereja -35-40
6,Ocorreu,582840465183770438,4.0,PEBCN-BBML 12-24-12-24,PEBCN-BBML-12-24-Cor-Sortida
7,Ocorreu,582840465183770438,4.0,PEBCN-BBML 12-24-12-24,PEBCN-BBML-12-24-Cor-Sortida
8,Cancelado,582840426520282538,10.0,ME-10-Cachorro- Caramelo-35-40,ME-10-Cachorro- Caramelo-35-40
9,Ocorreu,582840430667859404,25.0,21009-44,21009-44
10,Ocorreu,582840393362408920,25.0807,21007-41,21007-41
11,Ocorreu,582840153926829719,10.0,ME-10-Robô-35-40,ME-10-Robô-35-40
12,Ocorreu,582839406852081285,5.0,SQ-EFCA-ALEATÓRIO-6PARES,SQ-EFCA02-Branco-Rosa-Preto-35-40
13,Ocorreu,582839406852081285,5.0,SQ-EFCA-ALEATÓRIO-6PARES,SQ-EFCA02-Rosa-Chumbo-Branco-35-40
14,Ocorreu,582839661571442485,25.1471,21011-43,21011-43
15,Ocorreu,582839347908413236,25.0,21014-45,21014-45
16,Ocorreu,582838931294160617,4.0,PEBCN-BBML 12-24-12-24,PEBCN-BBML-12-24-Cor-Sortida
17,Ocorreu,582838554994771084,25.0,21008-38,21008-38
18,Cancelado,582838521953289344,5.4166,HM-BAF-Preto-35-41,HM-BAF-Preto-35-41
19,Ocorreu,582838439614645538,6.0,QS-LM-VC01-Azul-Fosco -35-40,QS-LM-VC01-Azul-Fosco -35-40
20,Ocorreu,582838340360111125,25.1471,21011-43,21011-43
21,Ocorreu,582837944427382090,4.6812,AS-F-Rosa-Morango -35-40,AS-F-Rosa-Morango -35-40
22,Ocorreu,582837987880765312,25.0,210007-40,21006-40
23,Cancelado,582837813804565800,25.1471,21011-43,21011-43
24,Ocorreu,582837748650575064,4.6868,AS-F-Cinza-Floco-De-Neve-35-40,AS-F-Cinza-Floco-De-Neve-35-40
25,Ocorreu,582837748650575064,4.6726,AS-F-Preto-Cereja -35-40,AS-F-Preto-Cereja -35-40
26,Ocorreu,582837748650575064,4.6812,AS-F-Rosa-Morango -35-40,AS-F-Rosa-Morango -35-40
27,Ocorreu,582837658392626761,4.0,PEBCN-BBML 12-24-12-24,PEBCN-BBML-12-24-Cor-Sortida
28,Ocorreu,582837436289746157,25.0,21011-44,21011-44
29,Cancelado,582837310974887191,25.0807,21007-41,21007-41
30,Ocorreu,582837287722910904,4.0,PEBCN-BBML 12-24-12-24,PEBCN-BBML-12-24-Cor-Sortida
31,Ocorreu,582837162870015642,25.0,210007-40,21006-40
32,Ocorreu,582837118387587004,4.0,PEBCN-BBML 12-24-12-24,PEBCN-BBML-12-24-Cor-Sortida
33,Ocorreu,582836878349731121,25.0981,21009-41,21009-41
34,Ocorreu,582836551967081759,25.0,210007-40,21006-40
35,Cancelado,582836305962959881,25.0807,21007-41,21007-41
36,Ocorreu,582835770593675016,4.0,PEBCN-BBML 12-24-12-24,PEBCN-BBML-12-24-Cor-Sortida
37,Ocorreu,582834926937212612,4.0,PEBCN-BBML 12-24-12-24,PEBCN-BBML-12-24-Cor-Sortida
38,Cancelado,582834899660539698,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
39,Cancelado,582834880128321330,10.0,ME-10-Cachorro- Caramelo-35-40,ME-10-Cachorro- Caramelo-35-40
40,Ocorreu,582833567058003753,10.0,ME-10-COELHO-COELHO-ROSA-2PAR,ME-10-Coelho-35-40
41,Ocorreu,582833567058003753,10.0,ME-10-COELHO-COELHO-ROSA-2PAR,ME-10-Coelho-Rosa-35-40
42,Ocorreu,582833708507170631,10.0,ME-10-Cachorro- Caramelo-35-40,ME-10-Cachorro- Caramelo-35-40
43,Ocorreu,582832924529427636,25.0981,21009-41,21009-41
44,Cancelado,582832708735961021,25.0741,21006-36,21006-36
45,Ocorreu,582831639482042351,25.0,21007-39,21007-39
46,Ocorreu,582831338491840144,10.0,ME-10-Esquilo-35-40,ME-10-Esquilo-35-40
47,Ocorreu,582831639468279201,4.2018,MALG-MC-1-Preto-40-46,MALG-MC-1-Preto-40-46
48,Ocorreu,582831639465526610,6.0,QS-LM-VC01-Rosa-35-40,QS-LM-VC01-Rosa-35-40
49,Cancelado,582832237595428478,25.0807,21007-41,21007-41
50,Ocorreu,582831727321580827,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
51,Ocorreu,582830599013369024,25.0807,21007-41,21007-41
52,Ocorreu,582826696425571353,25.0807,21007-41,21007-41
53,Cancelado,582825217528202368,4.6813,AS-F-Cinza-Coracoes -35-40,AS-F-Cinza-Coracoes -35-40
54,Cancelado,582825217528202368,4.6726,AS-F-Preto-Cereja -35-40,AS-F-Preto-Cereja -35-40
55,Ocorreu,582825067359798347,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
56,Ocorreu,582824158826694183,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
57,Ocorreu,582823409778787948,6.0,QS-LM-VC01-Ciano-35-40,QS-LM-VC01-Ciano-35-40
58,Ocorreu,582822036492093060,10.0,ME-10-Cachorro-Rosa-35-40,ME-10-Cachorro-Rosa-35-40
59,Ocorreu,582821996150228595,10.0,ME-10-Cachorro- Caramelo-35-40,ME-10-Cachorro- Caramelo-35-40
60,Cancelado,582821990700451419,4.0,PEBCN-BBML 12-24-12-24,PEBCN-BBML-12-24-Cor-Sortida
61,Ocorreu,582821722785612997,28.1923,21003-38,21003-38
62,Ocorreu,582821327736964522,10.0,ME-10-Cachorro-Rosa-35-40,ME-10-Cachorro-Rosa-35-40
63,Ocorreu,582821327736964522,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
64,Ocorreu,582821349068081151,4.0,PEBCN-BBML 12-24-12-24,PEBCN-BBML-12-24-Cor-Sortida
65,Ocorreu,582821349068081151,4.0,PEBCN-BBML 12-24-12-24,PEBCN-BBML-12-24-Cor-Sortida
66,Ocorreu,582821019469907516,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
67,Ocorreu,582821019469907516,10.0,ME-10-Cachorro-Bulldog-35-40,ME-10-Cachorro-Bulldog-35-40
68,Ocorreu,582820987898136443,4.0,PEBCN-BBML 12-24-12-24,PEBCN-BBML-12-24-Cor-Sortida
69,Ocorreu,582820713205892779,5.4166,HM-BAF-Preto-35-41*3,HM-BAF-Preto-35-41
70,Ocorreu,582820571627292346,4.0,PEBCN-BBML 12-24-12-24,PEBCN-BBML-12-24-Cor-Sortida
71,Ocorreu,582820571627292346,4.0,PEBCN-BBML 12-24-12-24,PEBCN-BBML-12-24-Cor-Sortida
72,Ocorreu,582820514182694312,25.1191,21007-38,21007-38
73,Ocorreu,582820457349415969,4.0,PEBCN-BBML 12-24-12-24,PEBCN-BBML-12-24-Cor-Sortida
74,Cancelado,582819914212345515,5.415,HM-BAF-Chumbo -35-41,HM-BAF-Chumbo -35-41
75,Cancelado,582819914212345515,5.4166,HM-BAF-Preto-35-41,HM-BAF-Preto-35-41
76,Ocorreu,582819844974478886,4.0,PEBCN-BBML 12-24-12-24,PEBCN-BBML-12-24-Cor-Sortida
77,Ocorreu,582819820057167770,4.0,PEBCN-BBML 12-24-12-24,PEBCN-BBML-12-24-Cor-Sortida
78,Ocorreu,582819779401713583,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
79,Ocorreu,582819467619174176,4.0,PEBCN-BBML 12-24-12-24,PEBCN-BBML-12-24-Cor-Sortida
80,Ocorreu,582819467619174176,4.0,PEBCN-BBML 12-24-12-24,PEBCN-BBML-12-24-Cor-Sortida
81,Ocorreu,582819445977351617,10.0,ME-10-Cachorro-Rosa-35-40,ME-10-Cachorro-Rosa-35-40
82,Cancelado,582819328590579079,4.0,PEBCN-BBML 12-24-12-24,PEBCN-BBML-12-24-Cor-Sortida
83,Ocorreu,582818192141354820,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
84,Ocorreu,582818429475391260,28.1923,21003-40,21003-40
85,Ocorreu,582818429475325683,28.1923,21002-41,21002-41
86,Ocorreu,582818429474604890,28.1923,21003-37,21003-37
87,Ocorreu,582818429474276443,4.25,LG-M01-12-PARES,LG-M10-Cinza-Branca-Chumbo-38-46
88,Ocorreu,582818429474276443,4.25,LG-M01-12-PARES,LG-M10-Branca-Cinza-Preta-38-46
89,Ocorreu,582818192137356816,10.0,ME-10-2PARES-SORTIDA-FEMIN,ME-10-Coelho-Rosa-35-40
90,Ocorreu,582818192137356816,10.0,ME-10-2PARES-SORTIDA-FEMIN,ME-10-Sereia-35-40
91,Ocorreu,582818429459793370,27.0,21080-37-38,21080-37-38
92,Ocorreu,582818429460055354,28.1923,21004-37,21003-38
93,Ocorreu,582818429460055354,4.6851,AS-F-Preto-Donuts-35-40,AS-F-Preto-Donuts-35-40
94,Ocorreu,582818429463267030,25.0807,21007-41,21007-41
95,Ocorreu,582818429468575345,10.0,ME-10-Cachorro-Bulldog-35-40,ME-10-Corrida-35-40
96,Ocorreu,582818192134670045,4.25,LG-M01-12-PARES,LG-M10-Cinza-Branca-Chumbo-38-46
97,Ocorreu,582818192134670045,4.25,LG-M01-12-PARES,LG-M10-Branca-Cinza-Preta-38-46
98,Ocorreu,582819241392112762,10.0,ME-10-Cachorro-Rosa-35-40,ME-10-Cachorro-Rosa-35-40
99,Ocorreu,582819241392112762,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
100,Ocorreu,582818429442819229,28.0,21003-36,21003-36
101,Ocorreu,582818429442557266,10.0,ME-10-Esquilo-32-40-1 Par,ME-10-Esquilo-35-40
102,Ocorreu,582818429442557266,25.08,21006-37,21006-37
103,Ocorreu,582819102150067837,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
104,Ocorreu,582819043369387697,10.0,ME-10-2PARES-SORTIDA-MASCU,ME-10-Cachorro-Bulldog-35-40
105,Ocorreu,582819043369387697,10.0,ME-10-2PARES-SORTIDA-MASCU,ME-10-Corrida-35-40
106,Ocorreu,582818650842564578,6.0,QS-LM-F02-35-40-Azul,QS-LM-F02-35-40-Azul
107,Ocorreu,582818650842564578,10.0,ME-10-1 De cada total 3-32-40-3 Pares,ME-10-Coelho-35-40
108,Ocorreu,582818650842564578,10.0,ME-10-1 De cada total 3-32-40-3 Pares,ME-10-Doce-35-40
109,Ocorreu,582818650842564578,10.0,ME-10-1 De cada total 3-32-40-3 Pares,ME-10-Esquilo-35-40
110,Cancelado,582818554846020864,4.0,PEBCN-BBML 12-24-12-24,PEBCN-BBML-12-24-Cor-Sortida
111,Ocorreu,582816698186565021,10.0,ME-10-Cachorro- Caramelo-35-40,ME-10-Cachorro- Caramelo-35-40
112,Ocorreu,582816698191414820,10.0,ME-10-Cachorro- Caramelo-35-40,ME-10-Cachorro- Caramelo-35-40
113,Ocorreu,582816698186368553,10.0,ME-10-COEL-CARAMELOO-CACH-ROS-DOC-4PAR,ME-10-Coelho-35-40
114,Ocorreu,582816698186368553,10.0,ME-10-COEL-CARAMELOO-CACH-ROS-DOC-4PAR,ME-10-Cachorro-Rosa-35-40
115,Ocorreu,582816698186368553,10.0,ME-10-COEL-CARAMELOO-CACH-ROS-DOC-4PAR,ME-10-Cachorro-Laço-35-40
116,Ocorreu,582817402623526274,4.1801,MALG-MC-1-Branco-40-46,MALG-MC-1-Branco-40-46
117,Ocorreu,582817402623526274,10.0,ME-10-Coelho-32-40-1 Par,ME-10-Coelho-35-40
118,Ocorreu,582817402605700798,4.6812,AS-F-Rosa-Morango -35-40,AS-F-Rosa-Morango -35-40
119,Ocorreu,582816698174638018,28.0,21001-36,21001-36
120,Ocorreu,582817402604193494,4.1675,MALG-M01-Cinza-38-46-12 Pares,MALG-M01-Branco-40-46
121,Ocorreu,582817402604193494,4.1679,MALG-M01-Cinza-38-46-12 Pares,MALG-M01-Preto-40-46
122,Ocorreu,582817402606225151,8.0,PC-CA-FX01,CA-FX01-Azul-Marrom-35-40
123,Ocorreu,582817402606225151,8.0,PC-CA-FX01,CA-FX01-Branca-Marrom-35-40
124,Ocorreu,582817402606225151,8.0,PC-CA-FX01,CA-FX01-Preta-Branca-35-40
125,Ocorreu,582817402600195546,3.75,SPTD-F-Lavanda-Rosa-Bebe-Cinza-35-40,SPTD-F-Lavanda-Rosa-Bebe-Cinza-35-40
126,Ocorreu,582816698173850890,4.1678,MALG-M01-Verde-38-46-6 Pares,MALG-M01-Verde -40-46
127,Ocorreu,582816698172605865,4.2018,MALG-MC-1-Preto-40-46,MALG-MC-1-Preto-40-46
128,Ocorreu,582816698174047546,1.2472,SPS-M01-Preto-35-40*6,SPS-M01-Preto-35-40
129,Ocorreu,582816698174047546,10.0,ME-10-SEREIA,ME-10-Sereia-35-40
130,Ocorreu,582817402596131931,8.0,PC-CA-FX01,CA-FX01-Azul-Marrom-35-40
131,Ocorreu,582817402596131931,8.0,PC-CA-FX01,CA-FX01-Branca-Marrom-35-40
132,Ocorreu,582817402596131931,8.0,PC-CA-FX01,CA-FX01-Preta-Branca-35-40
133,Ocorreu,582817402596131931,4.2018,MALG-MC-1-Preto-40-46,MALG-MC-1-Preto-40-46
134,Ocorreu,582817402596131931,1.2472,SPS-M01-Preto-35-40*6,SPS-M01-Preto-35-40
135,Ocorreu,582817402596131931,8.0,CA-FX01-Cinza-Chumbo-35-40,CA-FX01-Cinza-Chumbo-35-40
136,Ocorreu,582816698170508626,4.1801,MALG-MC-1-Branco-40-46,MALG-MC-1-Branco-40-46
137,Ocorreu,582816698170508626,2.9165,MA-M-Branco-40-46-1 Par,MA-M-Branco-40-46
138,Ocorreu,582818408837842881,6.0,QS-LM-VC01-Pink -35-40,QS-LM-VC01-Pink -35-40
139,Ocorreu,582817211807139433,25.0,21007-39,21007-39
140,Ocorreu,582816799261230429,4.0,PEBCN-BBML 12-24-12-24,PEBCN-BBML-12-24-Cor-Sortida
141,Cancelado,582816533822146223,28.098,21003-39,21003-39
142,Ocorreu,582812537636226782,10.0,ME-10-Cachorro- Caramelo-35-40,ME-10-Cachorro- Caramelo-35-40
143,Cancelado,582805383328008161,25.5595,21007-40,21007-40
144,Cancelado,582804908015256822,4.0,PEBCN-BBML 12-24-12-24,PEBCN-BBML-12-24-Cor-Sortida
145,Ocorreu,582803968056001991,5.4166,HM-BAF-Preto-35-41,HM-BAF-Preto-35-41
146,Ocorreu,582803942260377340,25.5595,21007-40,21007-40
147,Ocorreu,582803737986041341,25.0,210007-40,21006-40
148,Ocorreu,582803789569034237,4.6726,AS-F-Preto-Cereja -35-40,AS-F-Preto-Cereja -35-40
149,Ocorreu,582803789569034237,4.6868,AS-F-Cinza-Floco-De-Neve-35-40,AS-F-Cinza-Floco-De-Neve-35-40
150,Ocorreu,582803535524824817,28.1923,21003-37,21003-37
151,Ocorreu,582802759348683786,25.0807,21007-41,21007-41
152,Ocorreu,582802752149357863,25.0741,21006-36,21006-36
153,Ocorreu,582802681986516070,10.0,ME-10-Cachorro- Caramelo-35-40,ME-10-Cachorro- Caramelo-35-40
154,Cancelado,582802507217405419,25.1191,21007-38,21007-38
155,Ocorreu,582802394820478836,4.0,PEBCN-BBML 12-24-12-24,PEBCN-BBML-12-24-Cor-Sortida
156,Ocorreu,582802086229738953,4.0,PEBCN-BBML 12-24-12-24,PEBCN-BBML-12-24-Cor-Sortida
157,Cancelado,582801856987694100,4.0,PEBCN-BBML 12-24-12-24,PEBCN-BBML-12-24-Cor-Sortida
158,Ocorreu,582801825468417199,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
159,Ocorreu,582801316493428241,4.0,PEBCN-BBML 12-24-12-24,PEBCN-BBML-12-24-Cor-Sortida
160,Ocorreu,582801316493428241,4.0,PEBCN-BBML 12-24-12-24,PEBCN-BBML-12-24-Cor-Sortida
161,Ocorreu,582801267216516725,25.2632,21009-42,21009-42
162,Cancelado,582801181642556996,4.0,PEBCN-BBML 12-24-12-24,PEBCN-BBML-12-24-Cor-Sortida
163,Ocorreu,582801094856508534,4.0,PEBCN-BBML 12-24-12-24,PEBCN-BBML-12-24-Cor-Sortida
164,Ocorreu,582800497235428362,4.0,PEBCN-BBML 12-24-12-24,PEBCN-BBML-12-24-Cor-Sortida
