,SKU,SKU Seller,Custo Médio
0,SQ-EFCA-30-PARES,SQ-EFCA-ALEATORIO-30PARES,50.0
1,ME-10-COELHO-CACHORRO-CARAMELO,ME-10-COELHO+CACHORRO CARAMELO-2PAR,20.0
2,MALG-MC-1-PRETO-3-PARES,MALG-MC-1-Preto-40-46*3,12.605400000000001
3,AS-F-6-PARES,AS-F-Kit 6 Pares Sortidos-35-40,28.1275
4,MALG-MC-1-BRANCO-2-PARES,MALG-MC-1-Branco-40-46-2 Pares,8.3602
5,ASA-F-3-PARES,ASA-F*3,15.5805
6,MALG-MC-BRANCO-3-PARES,MALG-MC-Branco-40-46-Kit 3 Pares,12.503700000000002
7,MA-M-PRETO-3-PARES,"MA-M-Preto-40-46
*3",8.7501
8,LG-M10-6-PARES,LG-M-SORTIDOS-6PARES,8.5
9,SP-MC-6-PARES,Kit-6-SP-MC-Sortidas-Kit 6 pares,5.994
10,AS-F-CINZA-FLOCO-DE-NEVE,AS-F-Cinza-Floco-De-Neve-35-40*5,23.433999999999997
11,AS-F-2-PARES,ASA-F*2,9.376000000000001
12,AS-F-3-PARES,AS-F-Kit 3 Pares Sortidos-35-40,14.056500000000002
13,HM-BAF-PRETO-12-PARES,HM-BAF-Preto-12 Pares,64.9992
14,HM-BAF-PRETO-6-PARES,HM-BAF-Preto-6 Pares,32.4996
15,MA-M-PRETO-6-PARES,MA-M-Preto-6 Pares-40-46,17.5002
16,ME-10-5-PARES-ALEATORIOS,ME-10-5 pares no total.-30-38-1 Par,50.0
17,ME-10-CACHORRO-CARAMELO-4-PARES,ME-10-Cachorro- Caramelo-35-40-30-38-4 Pares,40.0
18,ME-10-CACHORRO-ROSA-4-PARES,ME-10-Cachorro-Rosa-35-40-30-38-4 Pares,40.0
19,ME-10-COELHO-3-PARES,ME-10-Coelho-35-40-30-38-3 Pares,30.0
20,ME-10-COELHO-4-PARES,ME-10-Coelho-35-40-30-38-4 Pares,40.0
21,ME-10-UNICORNIO-2-PARES,ME-10-Unicornio-35-40-30-38-2 Pares,20.0
22,ME-10-UNICORNIO-3-PARES,ME-10-Unicornio-35-40-30-38-3 Pares,30.0
23,PEBCN-BBML-2-PARES,PEBCN-BBML-2 Pares-12-24,8.0
24,QS-LM-VC01-2-PARES-ALEATORIOS,QS-LM-VC01-Aleatório-2 PARES,12.0
25,LG-M10-18-PARES,LG-M-SORTIDO-20PARES,25.5
26,HM-BAF-CINZA-6-PARES,HM-BAF-Prateado-6 Pares,32.5002
27,HM-BAF-3-PARES,HM-BAF-Cores Sortidas-3 Pares,16.2498
28,SQ-EFCA-9-PARES,SQ-EFCA-ALEATORIO-9PARES,15.0
29,PER-3D-F-Unicornio-35-40,PER-3D-F-UNICORNIO-1PAR,32.4996
30,PER-3D-F-Coelho-35-40,PER-3D-F-COELHO-1PAR,17.5002
31,PER-3D-M-Robo-35-40,PER-3D-M-ROBO-1PAR,40.0
32,21103-Rosa-34-35,21103-34-35,30.0
33,21104-Off-White-34-35,21104-34-35,30.0
34,21104-Off-White-32-33,21104-32-33,8.0
35,21105-32-33-Roxo,21105-32-33,30.0
36,21105-30-31-Roxo,21105-30-31,18.0
37,21106-Preto-34-35,21106-34-35,66.0
38,21106-Preto-32-33,21106-32-33,32.5002
39,21106-Preto-30-31,21106-30-31,16.2498
40,MALG-M01-AZUL-PRETA-2-PARES,MALG-M01-Azul+Preta-38-46-2 Pares,8.3357
41,MALG-MC-VCERDE-AZUL-2-PARES,MALG-MC-VERDE+AZUL,8.344899999999999
42,QS-LM-VC01-Lavanda-2 PARES,QS-LM-VC01-Lavanda-2 PARES,12.0
43,HM-BAF-Cores Sortidas-12 Pares,HM-BAF-Cores Sortidas-12 Pares,64.9944
44,AS-F-6-PARES-SORTIDOS,AS-F-Kit 6 Pares Sortidos-35-40-6 PARES,28.1308
45,MALG-M01-Cinza+Preto-38-46-2 Pares,MALG-M01-Cinza+Preto-38-46-2 Pares,8.3356
46,MALG-M01-PRETO-BRANCO-2-PARES,MALG-M01-Branco+Preto-38-46-2 Pares,8.3354
47,MALG-M01-PRETO-BRANCO-2-PARES,MALG-M01-Branco+Preto-40-46-2  Pares,8.3354
48,SQ-EMCA-24-PARES,1733691209647883531,40.0
49,ME-10-COELHO-2-PARES,ME-10-COELHO-2PAR,20.0
50,ME-10-COELHO-2-PARES,ME-10-Coelho-33-40-2 par,20.0
51,ME-10-COELHO-2-PARES,ME-10-Coelho-35-40-30-38-2 Pares,20.0
52,ME-10-COELHO-2-PARES,ME-10-COELHO-COELHO ROSA-2PAR,20.0
53,ME-10-CACHORRO-ROSA-2-PARES,ME-10-CACHORRO ROSA-2PAR,20.0
54,ME-10-CACHORRO-ROSA-2-PARES,ME-10-Cachorro-Rosa-35-40-30-38-2 Pares,20.0
55,SQ-EMCA-6-PARES-SORTIDOS,1733691209647883531,10.0
56,HM-BAF-CINZA-3PARES,HM-BAF-Prateado-3 Pares,16.2501
57,MALG-MC-PRETO+AZUL-2PARES,MALG-MC-Preto+Azul-40-46-Kit 2 Pares,8.7426
58,HM-BAF-Rosa-3 Pares,HM-BAF-Rosa-3 Pares,16.2495
59,MALG-M01-BRANCO-2PARES,MALG-M01-Branca-38-46-2 Pares,8.335
60,MALG-M01-Cinza-escuro-2 Pares,MALG-M01-Cinza-escuro-38-46-2 Pares,8.3354
61,MASG-MC-Preto-Kit 6 Pares,MASG-MC-Preto-38-46-Kit 6 Pares,37.4886
62,MASG-MC-Preto-Kit 6 Pares,MASG-MC,37.4886
63,W001-15-35/36,W001-15-35/36,18.642000000000003
64,W001-15-33/34,W001-15-34,12.5034
65,W001-11-39/40,W001-11-40,25.005000000000003
66,W001-11-37/38,W001-11-37,12.5034
67,W001-11-35/36,W001-11-36,18.6504
68,W001-11-33/34,W001-11-33,18.7443
69,W001-11-33/34,W001-11-33,18.7443
70,W001-11-33/34,W001-11-34,18.7443
71,W001-04-39/40,W001-04-40,37.3151
72,W001-04-37/38,W001-04-38,18.6362
73,W001-02-37/38,W001-02-38,12.5229
74,W001-02-35/36,W001-02-35,12.5274
75,W001-02-35/36,W001-02-36,12.5274
76,MALG-MC-1 DE CADA-6PARES,MALG-MC-1 DE CADA-6PARES,25.432699999999997
77,SQ-EFCA-ALEATORIO-6PARES,SQ-EFCA-ALEATÓRIO-6PARES,10.0
78,SQ-EFCA-ALEATORIO-6PARES,SQ-EFCA-ALEATÓRIO-6PARES,10.0
79,SQ-EFCA-ALEATORIO-6PARES,SQ-EFCA-ALEATORIO-6PARES,10.0
80,MALG-MC-PRETO-2PARES,MALG-MC-PRETO-2PARES,9.1366
81,MALG-M01-PRETO+VERDE-2PAR,MALG-M01-Preto+Verde-38-46-2 Pares,8.3357
82,MALG-M01-VERDE+AZUL-2PAR,MALG-M01-Verde+Azul-38-46-2 Pares,8.3356
83,MALG-MC-BRANCO-2PARES,MALG-MC-BRANCO-2PARES,8.3358
