,ID do pedido/ajuste,Valor total a ser liquidado,Data do demonstrativo
25,582696871303284734,-12.0,2026/02/28
26,582696871301121388,-9.6,2026/02/28
27,582684896476300337,-9.6,2026/02/28
28,582696871285458112,-9.6,2026/02/28
32,582680213635827474,-10.8,2026/02/28
33,582680213641856591,-10.8,2026/02/28
34,582680975475770460,-25.1,2026/02/28
35,582680213633205779,-9.6,2026/02/28
36,582680975472755937,-9.5,2026/02/28
44,582661440700385037,-9.6,2026/02/28
45,582660461170231075,-25.1,2026/02/28
46,582661440632031103,-18.1,2026/02/28
47,582660461156467808,-10.8,2026/02/28
93,582680975474591631,-12.0,2026/02/27
94,582680975474394362,-18.1,2026/02/27
95,582680213638907514,-12.0,2026/02/27
96,582680975474001819,-10.8,2026/02/27
97,582680213635433869,-14.5,2026/02/27
98,582680213634320340,-18.1,2026/02/27
99,582680213640217987,-10.8,2026/02/27
100,582680213633927043,-8.4,2026/02/27
101,582680213639431500,-12.0,2026/02/27
102,582680975472297085,-7.2,2026/02/27
117,582665341763421746,-39.6,2026/02/27
123,582661440714737085,-14.5,2026/02/27
124,582660461213811769,-16.9,2026/02/27
125,582661440699664118,-18.1,2026/02/27
126,582661440693634147,-15.7,2026/02/27
127,582660461190809273,-10.8,2026/02/27
128,582661440655295977,-12.0,2026/02/27
129,582661440640550422,-8.4,2026/02/27
130,582661440614729605,-16.9,2026/02/27
131,582661440476054709,-8.4,2026/02/27
166,582630335095866601,-11.34,2026/02/27
177,582603151789754304,-12.0,2026/02/27
180,582577316336403910,-13.2,2026/02/27
196,582471197324117435,-2.28,2026/02/27
201,582727601389012572,-2.37,2026/02/26
202,582717801303672827,-8.95,2026/02/26
207,582680213642053372,-9.6,2026/02/26
208,582680213639104057,-9.6,2026/02/26
209,582680213638252471,-10.8,2026/02/26
210,582680213637006875,-9.6,2026/02/26
211,582680213636613155,-7.2,2026/02/26
212,582680213636417256,-12.0,2026/02/26
213,582680213629470560,-10.8,2026/02/26
214,582680975472428687,-9.6,2026/02/26
238,582660461212042765,-9.6,2026/02/26
239,582661440704185377,-12.0,2026/02/26
240,582660461210010753,-7.2,2026/02/26
241,582660461191399102,-13.2,2026/02/26
