,ID do pedido/ajuste,Valor total a ser liquidado,Data do demonstrativo
0,582742651563246944,34.02,2026/02/28
1,582742161595795144,27.22,2026/02/28
2,582734246096111300,7.71,2026/02/28
3,582734110459528227,9.12,2026/02/28
4,582732974537672246,9.12,2026/02/28
5,582731850791159461,7.71,2026/02/28
6,582728313359205748,31.91,2026/02/28
7,582727569508763289,8.63,2026/02/28
8,582727441405674968,33.11,2026/02/28
9,582720112927016140,10.15,2026/02/28
10,582717403409974995,8.63,2026/02/28
11,582716020829030083,7.92,2026/02/28
12,582715990135571609,9.59,2026/02/28
13,582715960607147978,6.73,2026/02/28
14,582715960607147978,6.72,2026/02/28
15,582715960607147978,6.73,2026/02/28
16,582711871368496144,9.01,2026/02/28
17,582709325292864971,7.71,2026/02/28
18,582708869286954382,35.85,2026/02/28
19,582703934963287670,7.71,2026/02/28
20,582701381931665086,33.11,2026/02/28
21,582700715349280654,10.15,2026/02/28
22,582699106112144766,20.98,2026/02/28
23,582699021883180842,33.11,2026/02/28
24,582697731514074147,7.92,2026/02/28
25,582696871303284734,-12.0,2026/02/28
26,582696871301121388,-9.6,2026/02/28
27,582684896476300337,-9.6,2026/02/28
28,582696871285458112,-9.6,2026/02/28
29,582696918316254717,15.07,2026/02/28
30,582693341040641816,31.86,2026/02/28
31,582684786522425247,16.87,2026/02/28
32,582680213635827474,-10.8,2026/02/28
33,582680213641856591,-10.8,2026/02/28
34,582680975475770460,-25.1,2026/02/28
35,582680213633205779,-9.6,2026/02/28
36,582680975472755937,-9.5,2026/02/28
37,582676912738370692,33.06,2026/02/28
38,582675814194382767,36.74,2026/02/28
39,582670019476096153,0.0,2026/02/28
40,582668402773558638,34.24,2026/02/28
41,582668263218316878,30.66,2026/02/28
42,582666177346962866,31.86,2026/02/28
43,582665877396161889,30.66,2026/02/28
44,582661440700385037,-9.6,2026/02/28
45,582660461170231075,-25.1,2026/02/28
46,582661440632031103,-18.1,2026/02/28
47,582660461156467808,-10.8,2026/02/28
48,582662265715328657,27.26,2026/02/28
49,582661502706680953,30.24,2026/02/28
50,582661274133496953,27.26,2026/02/28
51,582659209367750349,30.14,2026/02/28
52,582653125291771026,15.4,2026/02/28
53,582652067491120624,15.4,2026/02/28
54,582651303408862722,31.86,2026/02/28
55,582651103489591094,31.86,2026/02/28
56,582650247699597219,26.96,2026/02/28
57,582647063295919475,30.66,2026/02/28
58,582646035801933217,28.19,2026/02/28
59,582644136653456801,15.4,2026/02/28
60,582638229271970945,34.59,2026/02/28
61,582637506915108801,15.58,2026/02/28
62,582637506915108801,15.57,2026/02/28
63,582637023511610827,15.58,2026/02/28
64,582637023511610827,15.58,2026/02/28
65,582637023511610827,15.58,2026/02/28
66,582635536696641180,30.66,2026/02/28
67,582635400947336402,31.15,2026/02/28
68,582617242335085923,14.68,2026/02/28
69,582616816484124005,15.34,2026/02/28
70,582616816484124005,15.34,2026/02/28
71,582616816484124005,15.34,2026/02/28
72,582616816484124005,15.35,2026/02/28
73,582616816484124005,15.34,2026/02/28
74,582616816484124005,15.35,2026/02/28
75,582608567788078883,29.36,2026/02/28
76,582596459128915503,40.34,2026/02/28
77,582488740084090267,31.79,2026/02/28
78,582486450682365018,31.71,2026/02/28
79,582441574950929838,36.49,2026/02/28
80,582403186373396350,36.49,2026/02/28
81,582801181642556996,0.0,2026/02/27
82,7611206518399092501,38.07,2026/02/27
83,7611173797728061204,11.34,2026/02/27
84,7611169392422717204,48.0,2026/02/27
85,7611162592591464212,43.7,2026/02/27
86,582742465814169570,26.02,2026/02/27
87,582742272546538953,7.71,2026/02/27
88,582728344777164524,33.11,2026/02/27
89,582697952711836925,7.71,2026/02/27
90,582697534149461683,8.63,2026/02/27
91,582685073354687801,33.06,2026/02/27
92,582682555701953571,44.98,2026/02/27
93,582680975474591631,-12.0,2026/02/27
94,582680975474394362,-18.1,2026/02/27
95,582680213638907514,-12.0,2026/02/27
96,582680975474001819,-10.8,2026/02/27
97,582680213635433869,-14.5,2026/02/27
98,582680213634320340,-18.1,2026/02/27
99,582680213640217987,-10.8,2026/02/27
100,582680213633927043,-8.4,2026/02/27
101,582680213639431500,-12.0,2026/02/27
102,582680975472297085,-7.2,2026/02/27
103,582681223287047597,9.0,2026/02/27
104,582681026598438339,28.56,2026/02/27
105,582679783624967557,30.66,2026/02/27
106,582679732878542627,30.66,2026/02/27
107,582677983797741333,27.26,2026/02/27
108,582677144157979873,28.56,2026/02/27
109,582675989492958388,31.86,2026/02/27
110,582668730061325707,27.26,2026/02/27
111,582667362130429683,24.04,2026/02/27
112,582667242571859909,8.63,2026/02/27
113,582666489491653916,33.06,2026/02/27
114,582666267345520209,29.36,2026/02/27
115,582666163028919311,24.36,2026/02/27
116,582666191438776137,28.56,2026/02/27
117,582665341763421746,-39.6,2026/02/27
118,582665182493116123,28.56,2026/02/27
119,582665133243401733,31.86,2026/02/27
120,582664844420023669,31.86,2026/02/27
121,582663163619673774,30.51,2026/02/27
122,582662585687508513,27.26,2026/02/27
123,582661440714737085,-14.5,2026/02/27
124,582660461213811769,-16.9,2026/02/27
125,582661440699664118,-18.1,2026/02/27
126,582661440693634147,-15.7,2026/02/27
127,582660461190809273,-10.8,2026/02/27
128,582661440655295977,-12.0,2026/02/27
129,582661440640550422,-8.4,2026/02/27
130,582661440614729605,-16.9,2026/02/27
131,582661440476054709,-8.4,2026/02/27
132,582661201070294040,31.86,2026/02/27
133,582652692608550807,15.4,2026/02/27
134,582651541764933078,33.06,2026/02/27
135,582651140576347447,28.6,2026/02/27
136,582650927977891677,33.06,2026/02/27
137,582650925563348783,23.26,2026/02/27
138,582650682453886450,33.06,2026/02/27
139,582650569014871677,30.66,2026/02/27
140,582649988362896704,29.36,2026/02/27
141,582646536880424722,30.66,2026/02/27
142,582639811328050873,15.41,2026/02/27
143,582639811328050873,15.41,2026/02/27
144,582639811328050873,15.41,2026/02/27
