,Order ID,Package ID,Quantity,SKU Subtotal After Discount,SKU Unit Original Price,SKU Subtotal Before Discount,Sku Quantity of return,Seller SKU
0,582842497552581968,Cancelado,1,9.18,17.0,17.0,1,PEBCN-BBML 12-24-12-24
1,582842361247204456,1187749005812008040,1,44.0,110.0,110.0,0,21011-41
2,582841805697353604,1187744398505052036,1,29.7,110.0,110.0,0,21009-40
3,582841574826018761,1187745633354155977,1,29.7,110.0,110.0,1,21011-41
4,582840897842283785,Cancelado,1,9.18,17.0,17.0,1,PEBCN-BBML 12-24-12-24
5,582840802944058412,1187735562681615404,1,10.8,20.0,20.0,0,AS-F-Preto-Cereja -35-40
6,582840465183770438,1187733606725748550,2,17.95,17.0,34.0,0,PEBCN-BBML 12-24-12-24
7,582840426520282538,Cancelado,1,32.4,90.0,90.0,1,ME-10-Cachorro- Caramelo-35-40
8,582840430667859404,1187732632812422604,1,39.6,110.0,110.0,0,21009-44
9,582840393362408920,1187732570653361624,1,39.6,110.0,110.0,0,21007-41
10,582840153926829719,1187730980252583575,1,32.4,90.0,90.0,0,ME-10-Robô-35-40
11,582839406852081285,1187729974708242053,1,19.98,37.0,37.0,0,SQ-EFCA-ALEATÓRIO-6PARES
12,582839661571442485,1187728744668825397,1,39.6,110.0,110.0,0,21011-43
13,582839347908413236,1187726790665406260,1,43.2,80.0,80.0,0,21014-45
14,582838931294160617,1187724927705843433,1,9.18,17.0,17.0,0,PEBCN-BBML 12-24-12-24
15,582838554994771084,1187723124192085132,1,38.41,110.0,110.0,0,21008-38
16,582838521953289344,Cancelado,1,10.8,20.0,20.0,1,HM-BAF-Preto-35-41
17,582838439614645538,1187722247347995938,1,11.34,21.0,21.0,0,QS-LM-VC01-Azul-Fosco -35-40
18,582838340360111125,1187721956280992789,1,38.41,110.0,110.0,0,21011-43
19,582837944427382090,1187720028053931338,1,10.8,20.0,20.0,0,AS-F-Rosa-Morango -35-40
20,582837987880765312,1187720456093992832,1,38.41,110.0,110.0,0,210007-40
21,582837813804565800,Cancelado,1,39.6,110.0,110.0,1,21011-43
22,582837748650575064,1187718531123610840,1,10.56,20.0,20.0,0,AS-F-Cinza-Floco-De-Neve-35-40
23,582837748650575064,1187718531123610840,1,10.56,20.0,20.0,0,AS-F-Preto-Cereja -35-40
24,582837748650575064,1187718531123610840,1,10.56,20.0,20.0,0,AS-F-Rosa-Morango -35-40
25,582837658392626761,1187717753226888777,1,9.18,17.0,17.0,0,PEBCN-BBML 12-24-12-24
26,582837436289746157,1187717031372752109,1,42.68,110.0,110.0,0,21011-44
27,582837310974887191,Cancelado,1,39.6,110.0,110.0,1,21007-41
28,582837287722910904,1187716249937872056,1,9.18,17.0,17.0,0,PEBCN-BBML 12-24-12-24
29,582837162870015642,1187716367313831578,1,39.6,110.0,110.0,0,210007-40
30,582837118387587004,1187715710158997436,1,9.18,17.0,17.0,0,PEBCN-BBML 12-24-12-24
31,582836878349731121,1187714434962523441,1,39.6,110.0,110.0,0,21009-41
32,582836551967081759,1187713028949181727,1,39.6,110.0,110.0,0,210007-40
